ID,カテゴリ,問題,正答,誤答1,誤答2,誤答3,解説
51,ディープラーニングの応用例,画像認識タスクでディープラーニングが特に高い性能を示した代表的なモデルはどれか。,CNN（Convolutional Neural Network）,k近傍法,ナイーブベイズ,線形回帰,CNNは畳み込み層を用いて画像の空間的特徴を効率的に学習できるため、画像認識で広く利用されている。
52,ディープラーニングの応用例,自然言語処理において機械翻訳や文章生成の基盤技術となっているアーキテクチャはどれか。,Transformer,決定木,主成分分析,ロジスティック回帰,TransformerはSelf-Attention機構により長距離の依存関係を効率的に学習できる。
53,ディープラーニングの応用例,音声認識システムの応用例として最も適切なものはどれか。,音声アシスタントによる音声入力のテキスト化,顧客のクラスタリング,売上予測,データベースの正規化,音声認識技術は音声をテキストに変換し、音声アシスタントなどで利用されている。
54,ディープラーニングの応用例,生成AIによる画像生成で代表的な応用例はどれか。,テキストから画像を生成するシステム,データの暗号化,データ圧縮のみを行うシステム,データベースの検索システム,近年はテキストの指示から画像を生成するText-to-Imageモデルが広く利用されている。
55,ディープラーニングの応用例,自動運転においてディープラーニングが担う役割として最も適切なものはどれか。,歩行者や標識の認識,エンジンの物理的製造,道路の舗装,通信回線の敷設,自動運転では画像認識技術を用いて周囲の状況を把握する。
56,ディープラーニングの応用例,医療分野におけるディープラーニングの活用例として適切なものはどれか。,医用画像の診断支援,薬剤の物理的製造,病院建築の設計,電子カルテの紙への印刷,X線画像やCT画像などを用いた診断支援にディープラーニングが活用されている。
57,ディープラーニングの応用例,レコメンドシステムにおいてディープラーニングが利用される主な目的はどれか。,利用者の嗜好に合った商品やコンテンツを推薦すること,データの暗号化,OSを開発すること,通信速度を向上させること,ECサイトや動画配信サービスでは利用者の行動履歴を基に推薦を行っている。
58,ディープラーニングの応用例,異常検知の応用例として最も適切なものはどれか。,クレジットカードの不正利用検知,画像の圧縮,Webページのデザイン,データ入力の高速化,異常検知は通常とは異なるパターンを検出する技術であり、不正検知などで活用される。
59,ディープラーニングの応用例,対話型生成AIの主な用途として最も適切なものはどれか。,質問応答や文章生成の支援,ネットワーク機器の製造,CPUの設計,データベースのバックアップ,大規模言語モデルは自然な対話や文章生成を実現し、多様な用途で利用されている。
60,ディープラーニングの応用例,マルチモーダルAIの特徴として最も適切なものはどれか。,テキスト・画像・音声など複数種類のデータを統合的に扱える,数値データしか扱えない,画像データのみ扱える,教師あり学習のみ実行できる,マルチモーダルAIは複数のモダリティを統合して処理することで高度なタスクを実現する。
61,AI倫理·AIガバナンス,AIの公平性（Fairness）の説明として最も適切なものはどれか。,AIシステムが特定の個人や集団に対して不当な差別や偏りを生じさせないようにすること,すべての利用者に同じ結果を返すこと,推論速度を均一にすること,学習データ数を完全に一致させること,公平性とは、AIシステムが特定の属性を持つ個人や集団に対して不当な差別や偏りを生じさせないようにする考え方である。
62,AI倫理·AIガバナンス,AIの透明性（Transparency）の説明として最も適切なものはどれか。,AIの判断根拠や仕組みを理解・説明できるようにすること,ソースコードを必ず公開すること,すべてのモデルをオープンソース化すること,学習データを無制限に公開すること,透明性はAIの意思決定プロセスを理解・説明できる状態を目指す概念である。
63,AI倫理·AIガバナンス,AIの説明可能性を表す用語として適切なものはどれか。,Explainable AI（XAI）,Optical Character Recognition（OCR）,Natural Language Processing（NLP）,Federated Learning,XAIはAIモデルの判断根拠を人間が理解できる形で説明するための技術や考え方である。
64,AI倫理·AIガバナンス,AIシステムの出力や行動を人間の価値観や意図に沿うようにすることを何というか。,アラインメント（Alignment）,トークナイゼーション,正則化,量子化,アラインメントはAIの目的や振る舞いを人間の価値観と整合させることを目指す概念である。
65,AI倫理·AIガバナンス,AIの安全性（Safety）に関する説明として最も適切なものはどれか。,AIが意図しない有害な結果をもたらさないようにすること,AIの処理速度を最大化すること,学習データを増やすこと,モデルサイズを大きくすること,安全性はAIシステムが事故や有害な影響を引き起こさないように設計・運用することを指す。
66,AI倫理·AIガバナンス,EUが公表した『Ethics Guidelines for Trustworthy AI』で示されている要件に含まれるものはどれか。,人間による監督,GPUの利用義務,オープンソース化の義務,教師なし学習の利用,Trustworthy AIの要件には人間による監督、透明性、公平性などが含まれる。
67,AI倫理·AIガバナンス,AIシステムの開発・運用において、責任の所在を明確にする考え方を何というか。,アカウンタビリティ（Accountability）,トークナイゼーション,データ拡張,蒸留,アカウンタビリティはAIの意思決定や結果に対する説明責任を明確にする考え方である。
68,AI倫理·AIガバナンス,AIガバナンスの目的として最も適切なものはどれか。,AIを適切かつ安全に開発・運用するための管理体制を整備すること,AIの性能を必ず向上させること,AIモデルをすべて公開すること,GPUの利用を義務化すること,AIガバナンスはリスク管理や責任体制を含め、AIの適切な利用を実現する枠組みである。
69,AI倫理·AIガバナンス,生成AIに関するリスクとして最も適切なものはどれか。,偽情報やディープフェイクの生成,計算速度の向上,データ圧縮率の低下,ネットワーク帯域の増加,生成AIは高品質なコンテンツを生成できる一方、偽情報やディープフェイクなどのリスクも抱えている。
70,AI倫理·AIガバナンス,人間の判断を支援し、最終的な意思決定は人間が行うという考え方を何というか。,Human-in-the-Loop,転移学習,自己教師あり学習,ゼロショット学習,Human-in-the-Loopは人間を意思決定プロセスに組み込み、AIの暴走や誤判断のリスクを低減する考え方である。
71,AIに関する法律と契約,個人情報保護法における『個人情報』の説明として最も適切なものはどれか。,生存する個人に関する情報であり、特定の個人を識別できるもの,法人に関するすべての情報,インターネット上に公開されている情報のみ,統計データのみ,個人情報保護法では、生存する個人に関する情報で、氏名や生年月日などにより特定の個人を識別できる情報を個人情報と定義している。
72,AIに関する法律と契約,個人情報保護法における『要配慮個人情報』の例として適切なものはどれか。,病歴,メールアドレス,会社名,趣味,人種、信条、社会的身分、病歴などは要配慮個人情報に該当する。
73,AIに関する法律と契約,著作権法第30条の4で認められているものはどれか。,情報解析を目的とした著作物の利用,著作物の無断販売,著作物の無断改変,著作物の著作者名の削除,日本の著作権法第30条の4では、一定の条件の下で情報解析目的の利用が認められている。
74,AIに関する法律と契約,個人データを第三者へ提供する際の原則として適切なものはどれか。,本人の同意を得る,必ず無償で提供する,匿名化は不要である,利用目的の通知は不要である,個人データの第三者提供には原則として本人の同意が必要である。
75,AIに関する法律と契約,EUの個人データ保護に関する規則として正しいものはどれか。,GDPR,SOX法,COPPA,PL法,GDPR（General Data Protection Regulation）はEUの一般データ保護規則である。
76,AIに関する法律と契約,個人を識別できないように加工し、復元できないようにした情報を何というか。,匿名加工情報,個人データ,仮名加工情報,機微情報,匿名加工情報は特定の個人を識別できず、元の個人情報を復元できないよう加工された情報である。
77,AIに関する法律と契約,AI開発において、学習データの利用条件や責任分担などを定めるために締結されるものはどれか。,契約,ガバナンス,アルゴリズム,正則化,AI開発ではデータ利用や知的財産権、責任範囲などを契約で明確にすることが重要である。
78,AIに関する法律と契約,AI生成物の著作権に関する日本の考え方として最も適切なものはどれか。,人間の創作的寄与がある場合には著作物として保護され得る,AIが生成したものはすべて自動的に著作権が発生する,AI自身が著作者となる,生成物にはいかなる場合も著作権は認められない,日本では著作物性の判断において人間の創作的寄与が重要な要素となる。
79,AIに関する法律と契約,不正競争防止法で保護の対象となるものの一つはどれか。,営業秘密,すべての公開情報,すべての学術論文,インターネット上の画像全般,営業秘密は秘密管理性・有用性・非公知性を満たす情報として保護される。
80,AIに関する法律と契約,個人情報保護法における『利用目的の特定』の趣旨として最も適切なものはどれか。,個人情報を何のために利用するかを本人に明確にすること,個人情報を無制限に利用できるようにすること,個人情報をすべて公開すること,利用目的を定めずに収集すること,事業者は個人情報の利用目的をできる限り特定し、適切に取り扱う必要がある。
81,AI の社会実装に向けて,PoC（Proof of Concept）の目的として最も適切なものはどれか。,アイデアや技術の実現可能性を検証すること,製品を量産すること,法改正を行うこと,組織を再編すること,PoCは本格導入前に技術やビジネス上の実現可能性を検証するために実施される。
82,AI の社会実装に向けて,AIプロジェクトでPoCを繰り返すだけで本番導入に至らない状態を何というか。,PoCの死の谷（PoC疲れ）,シンギュラリティ,過学習,データ拡張,PoCの死の谷とは、検証は成功するものの事業化・本番導入に進めない状態を指す。
83,AI の社会実装に向けて,AI導入を成功させるために重要な要素として最も適切なものはどれか。,経営課題とAI活用目的を明確にすること,最初に大規模モデルを構築すること,すべてのデータを収集すること,AIの利用目的を決めないこと,AIは手段であり、解決したい経営課題や業務課題を明確にすることが重要である。
84,AI の社会実装に向けて,MLOpsの説明として最も適切なものはどれか。,機械学習モデルの開発・運用を継続的に改善するための仕組み,データベースを設計する手法,法律遵守のための監査制度,画像圧縮技術,MLOpsは機械学習システムの開発、デプロイ、監視、再学習を効率化するための考え方である。
85,AI の社会実装に向けて,AIシステムを運用する際に重要な『モデルドリフト』とは何か。,時間の経過とともにモデルの性能が低下する現象,モデルのサイズが増加する現象,GPUの故障,データが暗号化される現象,データ分布や環境の変化により、学習時の前提が崩れて性能が低下することをモデルドリフトという。
86,AI の社会実装に向けて,AIの社会実装において『Human-in-the-Loop』を導入する主な目的はどれか。,人間が最終判断に関与し、AIの誤判断リスクを低減すること,AIの計算速度を向上させること,データを圧縮すること,GPUを削減すること,人間を意思決定プロセスに組み込むことで、安全性や信頼性を高められる。
87,AI の社会実装に向けて,AIシステムの継続的な性能監視の目的として最も適切なものはどれか。,性能劣化や異常を早期に検知すること,モデルのパラメータ数を増やすこと,データベースを削除すること,学習データを非公開にすること,本番環境では性能指標を監視し、必要に応じて再学習や改善を行う。
88,AI の社会実装に向けて,DX（デジタルトランスフォーメーション）の説明として最も適切なものはどれか。,デジタル技術を活用してビジネスや組織を変革すること,紙の資料を電子化することのみを指す,AIモデルを大規模化すること,システムをクラウドへ移行することのみを指す,DXはデジタル技術を活用して業務やビジネスモデルを変革し、競争優位を確立する取り組みである。
89,AI の社会実装に向けて,AI導入時にROI（Return on Investment）を評価する主な目的はどれか。,投資対効果を把握すること,モデルの精度を算出すること,データ量を測定すること,GPU性能を測定すること,ROIは投資額に対してどの程度の利益や効果が得られたかを評価する指標である。
90,AI の社会実装に向けて,AIプロジェクトにおいてデータサイエンティスト、エンジニア、業務担当者が連携することが重要な理由として最も適切なものはどれか。,技術と業務要件を両立し、実用的なシステムを構築するため,モデルのパラメータ数を増やすため,法規制を不要にするため,学習データを削減するため,AIの社会実装では技術だけでなく、業務知識や運用体制を含めた連携が重要である。
91,AI に必要な数理·統計知識,平均値（算術平均）の計算式として正しいものはどれか。,データの合計をデータ数で割った値,データを昇順に並べたときの中央の値,最も多く出現する値,最大値と最小値の差,平均値はデータ全体の代表値を表す基本的な統計量であり、データの合計をデータ数で割って求める。
92,AI に必要な数理·統計知識,データを昇順に並べたとき、中央に位置する値を何というか。,中央値（Median）,平均値（Mean）,最頻値（Mode）,分散（Variance）,中央値は外れ値の影響を受けにくい代表値である。
93,AI に必要な数理·統計知識,データのばらつきの大きさを表す指標として適切なものはどれか。,分散,平均,最頻値,中央値,分散は各データが平均からどの程度離れているかを表す指標である。
94,AI に必要な数理·統計知識,2つの事象A、Bが独立であるときに成り立つ式はどれか。,P(A∩B)=P(A)P(B),P(A∩B)=P(A)+P(B),P(A|B)=1,P(A)=P(B),独立事象では、一方の発生が他方の発生確率に影響を与えない。
95,AI に必要な数理·統計知識,ベイズの定理を表す式として正しいものはどれか。,P(A|B)=P(B|A)P(A)/P(B),P(A|B)=P(A)+P(B),P(A∩B)=P(A)-P(B),P(A)=1-P(B),ベイズの定理は事後確率を事前確率と尤度から求めるための基本公式である。
96,AI に必要な数理·統計知識,微分の主な役割として最も適切なものはどれか。,関数の変化率を求めること,データを並べ替えること,行列を分解すること,確率を計算すること,ディープラーニングでは損失関数の勾配を求めるために微分が利用される。
97,AI に必要な数理·統計知識,ニューラルネットワークの重み更新に用いられる勾配降下法の目的は何か。,損失関数を最小化すること,データ数を増やすこと,特徴量を削除すること,確率分布を生成すること,勾配降下法では損失関数の勾配方向を利用してパラメータを更新する。
98,AI に必要な数理·統計知識,行列積ABが定義される条件として正しいものはどれか。,Aの列数とBの行数が一致する,AとBの行数が一致する,AとBの列数が一致する,AとBの行数と列数がすべて一致する,行列積では前の行列の列数と後ろの行列の行数が一致している必要がある。
99,AI に必要な数理·統計知識,主成分分析（PCA）の主な目的はどれか。,次元削減,分類,回帰,データベース設計,PCAはデータの分散をできるだけ保持しながら低次元へ圧縮する手法である。
100,AI に必要な数理·統計知識,シグモイド関数の出力範囲として正しいものはどれか。,0から1,-1から1,0から∞,-∞から∞,シグモイド関数は任意の実数を0から1の範囲に変換する活性化関数である。
101,人工知能とは,中国語の部屋（Chinese Room）という思考実験を提唱した人物は誰か。,ジョン・サール,アラン・チューリング,ジョン・マッカーシー,マービン・ミンスキー,ジョン・サールは『中国語の部屋』により、記号操作だけでは真の意味理解にはならないと主張した。
102,人工知能とは,フレーム問題が指摘している課題として最も適切なものはどれか。,環境の変化に対して、何を考慮し何を無視すべきかを機械が判断することの難しさ,計算速度が遅いこと,メモリが不足すること,データが少ないこと,フレーム問題は、現実世界の膨大な情報の中から関連する情報のみを適切に扱うことの難しさを指摘している。
103,人工知能をめぐる動向,ImageNetを構築し、画像認識研究の発展に大きく貢献した研究者は誰か。,李飛飛（Fei-Fei Li）,Yann LeCun,Geoffrey Hinton,Andrew Ng,ImageNetは大規模画像データセットであり、第3次AIブームの発展を支えた。
104,人工知能をめぐる動向,2017年に『Attention Is All You Need』を発表した組織はどこか。,Google,OpenAI,DeepMind,Microsoft,Googleの研究者らがTransformerを提案し、自然言語処理に大きな変革をもたらした。
105,機械学習の概要,回帰問題でよく用いられる損失関数はどれか。,平均二乗誤差（MSE）,交差エントロピー誤差,Hinge Loss,Focal Loss,MSEは予測値と正解値の差の二乗平均を計算する代表的な回帰用損失関数である。
106,機械学習の概要,分類問題でよく用いられる損失関数はどれか。,交差エントロピー誤差,平均二乗誤差,L1損失,Huber損失,交差エントロピー誤差は分類タスクで広く利用される。
107,機械学習の概要,L1正則化の特徴として正しいものはどれか。,不要な特徴量の重みを0にしやすい,過学習を必ず防げる,学習率を自動調整する,データを正規化する,L1正則化はスパースなモデルを生成し、特徴選択の効果を持つ。
108,機械学習の概要,アンサンブル学習の代表的な手法はどれか。,Random Forest,k-means,PCA,ナイーブベイズ,Random Forestは複数の決定木を組み合わせて予測性能を向上させる。
109,ディープラーニングの概要,ニューラルネットワークの各層間を結ぶパラメータを何というか。,重み（Weight）,特徴量,バッチサイズ,エポック,重みは入力情報の重要度を表し、学習によって更新される。
110,ディープラーニングの要素技術,Adamの説明として最も適切なものはどれか。,適応的に学習率を調整する最適化アルゴリズム,活性化関数の一種,正則化手法,次元削減手法,Adamはモーメンタムと適応的学習率を組み合わせた代表的な最適化手法である。
111,ディープラーニングの要素技術,エポック（Epoch）の説明として最も適切なものはどれか。,学習データ全体を1回使い切ること,1回のパラメータ更新,1つのデータのみを使った学習,ミニバッチ1個のこと,1エポックは全学習データを1巡することを意味する。
112,ディープラーニングの要素技術,転移学習（Transfer Learning）の説明として最も適切なものはどれか。,学習済みモデルの知識を別のタスクへ利用すること,学習データを暗号化すること,モデルを複数結合すること,データを圧縮すること,ImageNetで事前学習したモデルを別タスクへ利用する例が代表的である。
113,ディープラーニングの要素技術,残差接続（Residual Connection）を導入したモデルはどれか。,ResNet,LeNet,AlexNet,Word2Vec,ResNetはスキップ接続を導入し、非常に深いネットワークの学習を可能にした。
114,ディープラーニングの応用例,GANの主な用途として適切なものはどれか。,リアルなデータの生成,データベースの検索,時系列予測のみ,暗号化,GANは画像生成やデータ拡張などの生成タスクで活用されている。
115,ディープラーニングの応用例,BERTの主な用途として最も適切なものはどれか。,自然言語理解,画像分類,異常検知,クラスタリング,BERTは双方向Transformerを利用した自然言語理解モデルである。
116,AI倫理·AIガバナンス,学習データの偏りによってAIの出力に偏りが生じる問題を何というか。,バイアス（Bias）,ドリフト,量子化,正則化,学習データの偏りはAIの公平性を損なう原因となる。
